,drug,disease,label
0,197.0,237.0,1.0
1,197.0,214.0,1.0
2,71.0,24.0,1.0
3,248.0,58.0,1.0
4,115.0,202.0,1.0
5,169.0,194.0,1.0
6,104.0,146.0,1.0
7,96.0,214.0,1.0
8,130.0,254.0,1.0
9,130.0,113.0,1.0
10,183.0,137.0,1.0
11,85.0,565.0,1.0
12,180.0,70.0,1.0
13,196.0,296.0,1.0
14,218.0,514.0,1.0
15,248.0,457.0,1.0
16,153.0,47.0,1.0
17,256.0,83.0,1.0
18,151.0,328.0,1.0
19,223.0,99.0,1.0
20,147.0,64.0,1.0
21,243.0,91.0,1.0
22,176.0,259.0,1.0
23,242.0,72.0,1.0
24,105.0,138.0,1.0
25,246.0,31.0,1.0
26,130.0,397.0,1.0
27,147.0,460.0,1.0
28,117.0,404.0,1.0
29,99.0,552.0,1.0
30,116.0,510.0,1.0
31,145.0,561.0,1.0
32,104.0,311.0,1.0
33,105.0,119.0,1.0
34,175.0,200.0,1.0
35,3.0,164.0,1.0
36,124.0,89.0,1.0
37,51.0,521.0,1.0
38,95.0,320.0,1.0
39,104.0,90.0,1.0
40,256.0,190.0,1.0
41,17.0,412.0,1.0
42,148.0,120.0,1.0
43,97.0,584.0,1.0
44,82.0,244.0,1.0
45,78.0,413.0,1.0
46,124.0,256.0,1.0
47,37.0,126.0,1.0
48,65.0,69.0,1.0
49,223.0,265.0,1.0
50,258.0,66.0,1.0
51,58.0,159.0,1.0
52,35.0,146.0,1.0
53,245.0,425.0,1.0
54,104.0,101.0,1.0
55,123.0,247.0,1.0
56,226.0,361.0,1.0
57,182.0,207.0,1.0
58,35.0,70.0,1.0
59,148.0,119.0,1.0
60,79.0,352.0,1.0
61,194.0,22.0,1.0
62,228.0,341.0,1.0
63,10.0,158.0,1.0
64,117.0,507.0,1.0
65,31.0,359.0,1.0
66,182.0,314.0,1.0
67,98.0,230.0,1.0
68,259.0,87.0,1.0
69,75.0,154.0,1.0
70,29.0,233.0,1.0
71,230.0,103.0,1.0
72,224.0,45.0,1.0
73,187.0,104.0,1.0
74,130.0,105.0,1.0
75,257.0,11.0,1.0
76,242.0,213.0,1.0
77,201.0,47.0,1.0
78,201.0,470.0,1.0
79,168.0,374.0,1.0
80,56.0,276.0,1.0
81,203.0,191.0,1.0
82,264.0,301.0,1.0
83,224.0,184.0,1.0
84,266.0,100.0,1.0
85,24.0,354.0,1.0
86,52.0,0.0,1.0
87,64.0,343.0,1.0
88,90.0,435.0,1.0
89,225.0,242.0,1.0
90,165.0,108.0,1.0
91,182.0,156.0,1.0
92,189.0,510.0,1.0
93,61.0,35.0,1.0
94,65.0,219.0,1.0
95,225.0,28.0,1.0
96,256.0,415.0,1.0
97,82.0,91.0,1.0
98,183.0,69.0,1.0
99,37.0,156.0,1.0
100,22.0,11.0,1.0
101,234.0,348.0,1.0
102,128.0,272.0,1.0
103,181.0,103.0,1.0
104,141.0,106.0,1.0
105,63.0,36.0,1.0
106,79.0,531.0,1.0
107,194.0,126.0,1.0
108,201.0,379.0,1.0
109,89.0,100.0,1.0
110,62.0,477.0,1.0
111,50.0,128.0,1.0
112,71.0,186.0,1.0
113,262.0,239.0,1.0
114,141.0,378.0,1.0
115,82.0,95.0,1.0
116,165.0,294.0,1.0
117,164.0,113.0,1.0
118,256.0,214.0,1.0
119,126.0,437.0,1.0
120,149.0,407.0,1.0
121,106.0,86.0,1.0
122,65.0,197.0,1.0
123,56.0,31.0,1.0
124,96.0,242.0,1.0
125,10.0,297.0,1.0
126,228.0,335.0,1.0
127,85.0,306.0,1.0
128,31.0,88.0,1.0
129,178.0,39.0,1.0
130,175.0,568.0,1.0
131,42.0,386.0,1.0
132,81.0,39.0,1.0
133,100.0,185.0,1.0
134,18.0,150.0,1.0
135,241.0,236.0,1.0
136,228.0,261.0,1.0
137,83.0,51.0,1.0
138,207.0,445.0,1.0
139,223.0,62.0,1.0
140,144.0,273.0,1.0
141,26.0,266.0,1.0
142,58.0,4.0,1.0
143,232.0,364.0,1.0
144,19.0,128.0,1.0
145,56.0,541.0,1.0
146,52.0,217.0,1.0
147,217.0,36.0,1.0
148,79.0,190.0,1.0
149,116.0,245.0,1.0
150,162.0,304.0,1.0
151,259.0,112.0,1.0
152,232.0,259.0,1.0
153,168.0,107.0,1.0
154,171.0,420.0,1.0
155,145.0,505.0,1.0
156,16.0,157.0,1.0
157,248.0,143.0,1.0
158,256.0,241.0,1.0
159,48.0,444.0,1.0
160,144.0,116.0,1.0
161,11.0,305.0,1.0
162,89.0,220.0,1.0
163,23.0,175.0,1.0
164,226.0,509.0,1.0
165,65.0,399.0,1.0
166,84.0,364.0,1.0
167,154.0,597.0,1.0
168,264.0,121.0,1.0
169,211.0,493.0,1.0
170,122.0,424.0,1.0
171,9.0,19.0,1.0
172,154.0,69.0,1.0
173,127.0,12.0,1.0
